epoch,d_loss,g_loss,lr_G,lr_D,batch_size,img_size,z_dim
1,2.3981870489523693,5.614484087510872,0.001,0.001,64,64,128
2,0.13258956167299082,5.61335301399231,0.0009987820251299122,0.0009987820251299122,64,64,128
3,0.01152869509635767,7.4710054678075455,0.0009951340343707852,0.0009951340343707852,64,64,128
4,0.005324597905307789,8.599881943534402,0.000989073800366903,0.000989073800366903,64,64,128
5,0.0039049917087301284,9.20539555830114,0.0009806308479691596,0.0009806308479691596,64,64,128
6,0.002885716428007821,9.731383323669434,0.0009698463103929544,0.0009698463103929544,64,64,128
7,232.41334909035976,223.46976470246034,0.0009567727288213006,0.0009567727288213006,64,64,128
8,1.324182712856461,5.856085882467382,0.0009414737964294637,0.0009414737964294637,64,64,128
9,0.40118530639173355,5.777446017545812,0.000924024048078213,0.000924024048078213,64,64,128
10,0.1637462374945993,5.774545038447661,0.0009045084971874739,0.0009045084971874739,64,64,128
11,0.11813931042492828,5.84693943752962,0.0008830222215594891,0.0008830222215594891,64,64,128
12,0.09908308499657056,6.36810832865098,0.0008596699001693257,0.0008596699001693257,64,64,128
13,0.07958181351697181,6.1620593772215,0.0008345653031794292,0.0008345653031794292,64,64,128
14,0.07409755695912548,6.353016460643095,0.0008078307376628292,0.0008078307376628292,64,64,128
15,0.06115121943602229,6.455011073280783,0.0007795964517353735,0.0007795964517353735,64,64,128
16,0.05473661467926029,6.507143413319307,0.0007500000000000001,0.0007500000000000001,64,64,128
17,0.0717511721612776,6.862890902687521,0.0007191855733945389,0.0007191855733945389,64,64,128
18,0.0493838532060823,6.532840995227589,0.0006873032967079562,0.0006873032967079562,64,64,128
19,0.039308621452244764,6.688982837340411,0.000654508497187474,0.000654508497187474,64,64,128
20,0.03901730931144865,6.780236749088063,0.0006209609477998341,0.0006209609477998341,64,64,128
21,0.030291437684996602,6.727468448526719,0.0005868240888334654,0.0005868240888334654,64,64,128
22,0.0360616377883536,7.227130209698396,0.0005522642316338269,0.0005522642316338269,64,64,128
23,0.029959011973594043,7.045112862306483,0.0005174497483512508,0.0005174497483512508,64,64,128
24,0.023978972759590867,7.175459567238303,0.00048255025164874985,0.00048255025164874985,64,64,128
25,0.03545699470594306,7.203925609588623,0.0004477357683661735,0.0004477357683661735,64,64,128
26,14.296425804526628,194.9397911884679,0.000413175911166535,0.000413175911166535,64,64,128
27,0.07322774401537198,22.08506623436423,0.00037903905220016624,0.00037903905220016624,64,64,128
28,0.04831512104582918,17.504940565894632,0.0003454915028125265,0.0003454915028125265,64,64,128
29,0.03661195892731056,15.131845305947696,0.0003126967032920441,0.0003126967032920441,64,64,128
30,0.029605696077102468,14.478467296151553,0.00028081442660546135,0.00028081442660546135,64,64,128
31,0.03501825706060866,12.22347391352934,0.0002500000000000002,0.0002500000000000002,64,64,128
32,0.023146857956068263,11.517455970539766,0.00022040354826462674,0.00022040354826462674,64,64,128
33,0.03131455779828898,12.226824311649098,0.00019216926233717093,0.00019216926233717093,64,64,128
34,0.016663197633426857,11.496575607972986,0.00016543469682057095,0.00016543469682057095,64,64,128
35,0.015623703061411268,12.518317222595215,0.00014033009983067441,0.00014033009983067441,64,64,128
36,0.016856182873358622,12.933223752414479,0.00011697777844051111,0.00011697777844051111,64,64,128
37,0.014133164840613437,12.076148874619427,9.549150281252638e-05,9.549150281252638e-05,64,64,128
38,0.013868583030724788,12.287264319027171,7.597595192178706e-05,7.597595192178706e-05,64,64,128
39,0.012023622995269868,12.33897907593671,5.852620357053665e-05,5.852620357053665e-05,64,64,128
40,0.013128120335750282,12.790599262013155,4.322727117869965e-05,4.322727117869965e-05,64,64,128
41,0.016934590020408744,12.498810263241038,3.015368960704586e-05,3.015368960704586e-05,64,64,128
42,0.010610794446513276,12.416707431568819,1.9369152030840676e-05,1.9369152030840676e-05,64,64,128
43,0.009905185547027299,12.533324662376852,1.0926199633097163e-05,1.0926199633097163e-05,64,64,128
44,0.011569910357459723,12.40326457865098,4.865965629214877e-06,4.865965629214877e-06,64,64,128
45,0.011316764658070444,12.230292432448444,1.2179748700879018e-06,1.2179748700879018e-06,64,64,128
