epoch,d_loss,g_loss,lr_G,lr_D,batch_size,img_size,z_dim
1,-494.8961792437469,898.7714294265298,0.0001,0.0001,64,64,128
2,-206.8521309347713,206.61618795114404,0.0001,0.0001,64,64,128
3,-168.09154882992013,67.78387167874504,0.0001,0.0001,64,64,128
4,-101.19040208704332,46.860278732636395,0.0001,0.0001,64,64,128
5,-81.52831037184771,41.556304416235754,0.0001,0.0001,64,64,128
6,-75.6003428290872,28.0641110644621,0.0001,0.0001,64,64,128
7,-72.73025371327121,33.959073305130005,0.0001,0.0001,64,64,128
8,-71.00990266238944,38.02034631897421,0.0001,0.0001,64,64,128
9,-70.48587843951057,32.03390300273895,0.0001,0.0001,64,64,128
10,-65.90357466305005,29.38076100629919,0.0001,0.0001,64,64,128
11,-63.518588974896616,26.012430660864887,0.0001,0.0001,64,64,128
12,-62.55261190077839,24.660391499014462,0.0001,0.0001,64,64,128
13,-60.138966616462255,18.5282461643219,0.0001,0.0001,64,64,128
14,-56.81311066571404,17.5047087949865,0.0001,0.0001,64,64,128
15,-56.52578084609088,18.42973859871135,0.0001,0.0001,64,64,128
16,-53.807016103407925,18.4087053046507,0.0001,0.0001,64,64,128
17,-50.03163677664363,14.664312807952657,0.0001,0.0001,64,64,128
18,-48.51786669562844,12.171897144878612,0.0001,0.0001,64,64,128
19,-47.74300463059369,11.653158454334035,0.0001,0.0001,64,64,128
20,-46.08509555143469,13.869541056015912,0.0001,0.0001,64,64,128
21,-45.314327374626615,9.746333514942842,0.0001,0.0001,64,64,128
22,-44.079856356452495,13.921456324703554,0.0001,0.0001,64,64,128
23,-43.176837449915254,10.542710409444922,0.0001,0.0001,64,64,128
24,-41.846706356721775,12.02540903932908,0.0001,0.0001,64,64,128
25,-40.87763006546918,8.881013067329631,0.0001,0.0001,64,64,128
26,-39.28469591701733,7.802324099575772,0.0001,0.0001,64,64,128
27,-38.235204146890084,9.365526732276468,0.0001,0.0001,64,64,128
28,-37.14678661122042,4.6069545184864715,0.0001,0.0001,64,64,128
29,-36.23637927560245,11.663404468227835,0.0001,0.0001,64,64,128
30,-35.197532362096446,6.7611124629483506,0.0001,0.0001,64,64,128
31,-34.629471431059,8.296872671912698,0.0001,0.0001,64,64,128
32,-33.83972369923311,7.474011158241945,0.0001,0.0001,64,64,128
33,-33.44093171287986,8.439473304678412,0.0001,0.0001,64,64,128
34,-33.22903003692627,7.465825585757985,0.0001,0.0001,64,64,128
35,-32.672725138944735,6.665232802138609,0.0001,0.0001,64,64,128
36,-31.520998281591087,7.765186793663922,0.0001,0.0001,64,64,128
37,-31.63933148103601,5.82264000527999,0.0001,0.0001,64,64,128
38,-32.20765090269202,3.0233680570826813,0.0001,0.0001,64,64,128
39,-31.245553734723256,11.324728667736053,0.0001,0.0001,64,64,128
40,-31.25949806886561,3.309839171521804,0.0001,0.0001,64,64,128
41,-31.184622988981353,5.953341512119069,0.0001,0.0001,64,64,128
42,-30.910105806238516,1.3830614107496597,0.0001,0.0001,64,64,128
43,-30.621060169444362,7.2748878387843865,0.0001,0.0001,64,64,128
44,-31.330142155815572,4.813141856123419,0.0001,0.0001,64,64,128
45,-31.69930748659022,4.225887326633229,0.0001,0.0001,64,64,128
46,-31.65794472413905,4.06576681838316,0.0001,0.0001,64,64,128
47,-31.56558625838335,3.3930828939465916,0.0001,0.0001,64,64,128
48,-32.22255774105297,6.378751327009762,0.0001,0.0001,64,64,128
49,-33.01178689844468,2.2549861897440517,0.0001,0.0001,64,64,128
50,-32.59085530673756,4.154178941951079,0.0001,0.0001,64,64,128
51,-32.67183321784524,3.7344692805234123,0.0001,0.0001,64,64,128
52,-32.99316956015194,2.262877678169924,0.0001,0.0001,64,64,128
53,-34.012923341638896,2.786071240901947,0.0001,0.0001,64,64,128
54,-34.07769588021671,1.0250048216651468,0.0001,0.0001,64,64,128
55,-34.362529272191665,4.139513716978185,0.0001,0.0001,64,64,128
56,-34.732618085075835,1.5388223984662224,0.0001,0.0001,64,64,128
57,-35.456025291891656,0.21561161209555232,0.0001,0.0001,64,64,128
58,-36.163076221241674,2.693004678277408,0.0001,0.0001,64,64,128
59,-37.084308702805465,2.6277211098109974,0.0001,0.0001,64,64,128
60,-37.77236827401555,0.4494878369219163,0.0001,0.0001,64,64,128
61,-38.536636352539055,-1.1216045495341807,0.0001,0.0001,64,64,128
62,-38.86490102655747,2.97672505939708,0.0001,0.0001,64,64,128
63,-39.48745237238267,4.650292915456435,0.0001,0.0001,64,64,128
64,-39.807151244668404,1.0325903541901533,0.0001,0.0001,64,64,128
65,-40.77718055949491,1.6004229328211617,0.0001,0.0001,64,64,128
66,-41.445110522999485,0.7948729045250836,0.0001,0.0001,64,64,128
67,-41.87745047176586,1.3747147391824162,0.0001,0.0001,64,64,128
68,-42.69016278210809,3.562635709257687,0.0001,0.0001,64,64,128
69,-43.513123579586264,1.2048718298182768,0.0001,0.0001,64,64,128
70,-44.91310059042537,0.5617587285883286,0.0001,0.0001,64,64,128
71,-45.67599431206199,3.310463372398825,0.0001,0.0001,64,64,128
72,-46.557856099745806,3.655688720590928,0.0001,0.0001,64,64,128
73,-47.60206179899329,1.9723445387447582,0.0001,0.0001,64,64,128
74,-48.61449228174546,0.6525513424592859,0.0001,0.0001,64,64,128
75,-49.94730758666993,3.7510050131994137,0.0001,0.0001,64,64,128
76,-50.98677518508014,1.6362108570687912,0.0001,0.0001,64,64,128
77,-51.378577041625974,-1.7187669417437386,0.0001,0.0001,64,64,128
78,-52.85207824707031,5.527444180320291,0.0001,0.0001,64,64,128
79,-54.40620242848115,3.642952436909956,0.0001,0.0001,64,64,128
80,-55.432184892542224,1.6794980922166038,0.0001,0.0001,64,64,128
81,-56.648928316901724,2.5406865302254173,0.0001,0.0001,64,64,128
82,-57.7820794722613,3.5532480969148525,0.0001,0.0001,64,64,128
83,-59.15022069145652,1.192091521094827,0.0001,0.0001,64,64,128
84,-60.324327895220584,5.368129274424384,0.0001,0.0001,64,64,128
85,-61.62156223970301,1.3737101064008825,0.0001,0.0001,64,64,128
86,-62.57811995113599,2.2876075523741104,0.0001,0.0001,64,64,128
87,-64.20900452557731,5.116910036872415,0.0001,0.0001,64,64,128
88,-65.3027853348676,3.291594428174636,0.0001,0.0001,64,64,128
89,-67.05731730741616,-1.4881005629020578,0.0001,0.0001,64,64,128
90,-68.39359083736643,8.549318578313379,0.0001,0.0001,64,64,128
91,-70.00561830857224,1.7408684001249426,0.0001,0.0001,64,64,128
92,-71.30656976138846,-1.776563237695133,0.0001,0.0001,64,64,128
93,-72.55429512472716,8.970052364994498,0.0001,0.0001,64,64,128
94,-74.42107689801385,-2.58845591545105,0.0001,0.0001,64,64,128
95,-75.45746594597313,6.934548802235547,0.0001,0.0001,64,64,128
96,-76.70385728723863,5.990812150871053,0.0001,0.0001,64,64,128
97,-77.89994111902573,2.616221540114459,0.0001,0.0001,64,64,128
98,-79.41133851444022,3.017220805673038,0.0001,0.0001,64,64,128
99,-80.95406871122472,2.5540892797357895,0.0001,0.0001,64,64,128
100,-82.20164743311264,2.2568951284184173,0.0001,0.0001,64,64,128
101,-83.69372578789206,6.080031156539917,0.0001,0.0001,64,64,128
102,-85.73028728260714,5.865416337462032,0.0001,0.0001,64,64,128
103,-86.46731376647949,2.40899592462708,0.0001,0.0001,64,64,128
104,-87.75000594643984,1.94316287075772,0.0001,0.0001,64,64,128
105,-89.94103079403148,3.616915878127603,0.0001,0.0001,64,64,128
106,-91.52340608484607,3.8042634585324455,0.0001,0.0001,64,64,128
107,-92.06512698005228,4.4494297469363495,0.0001,0.0001,64,64,128
108,-93.8236619837144,3.801077022271998,0.0001,0.0001,64,64,128
109,-94.66879577636719,3.868847594541662,0.0001,0.0001,64,64,128
110,-96.04562849156997,2.1368615066303924,0.0001,0.0001,64,64,128
111,-97.56260191973519,4.067316518110387,0.0001,0.0001,64,64,128
112,-98.73995608161475,6.999106980421963,0.0001,0.0001,64,64,128
113,-99.52708776137405,-0.9202584378859576,0.0001,0.0001,64,64,128
114,-101.90595631318932,2.3121940353337456,0.0001,0.0001,64,64,128
115,-101.98437522439394,2.8616234099163727,0.0001,0.0001,64,64,128
116,-104.2291632708381,5.096539430758533,0.0001,0.0001,64,64,128
117,-104.88517025218289,0.19878005981445312,0.0001,0.0001,64,64,128
118,-106.01705789005054,5.658602726810119,0.0001,0.0001,64,64,128
119,-107.51665604535273,1.0132129542967852,0.0001,0.0001,64,64,128
120,-108.67211599910964,3.207054211812861,0.0001,0.0001,64,64,128
121,-109.7515235003303,1.132829841445474,0.0001,0.0001,64,64,128
122,-111.0855189603918,2.622296459534589,0.0001,0.0001,64,64,128
123,-112.27695617675784,3.429331495481379,0.0001,0.0001,64,64,128
124,-113.32171424416933,0.4754323994412142,0.0001,0.0001,64,64,128
125,-114.98084151324103,6.201341902508455,0.0001,0.0001,64,64,128
126,-115.38838999131148,2.833427948110244,0.0001,0.0001,64,64,128
127,-116.63222431856043,2.0976039311465096,0.0001,0.0001,64,64,128
128,-117.84353547937728,0.6837870373445398,0.0001,0.0001,64,64,128
129,-119.61790008544922,7.334695416338303,0.0001,0.0001,64,64,128
130,-119.84919994578641,1.9625395606545841,0.0001,0.0001,64,64,128
131,-120.52539767097021,-1.4139314732130837,0.0001,0.0001,64,64,128
132,-121.96536479276769,2.959272300495821,0.0001,0.0001,64,64,128
133,-123.3082019581514,2.61139638634289,0.0001,0.0001,64,64,128
134,-124.78024148380055,4.165384334676406,0.0001,0.0001,64,64,128
135,-125.43935075647687,1.9152287385042976,0.0001,0.0001,64,64,128
136,-126.99006675271427,5.433529433082132,0.0001,0.0001,64,64,128
137,-128.29114343979776,2.4896738686982323,0.0001,0.0001,64,64,128
138,-128.3386140711167,0.6571899757665747,0.0001,0.0001,64,64,128
139,-129.37268627391146,0.8911182266824386,0.0001,0.0001,64,64,128
140,-130.1599602643181,4.122604166760164,0.0001,0.0001,64,64,128
141,-131.86366038602944,4.043872139033149,0.0001,0.0001,64,64,128
142,-133.17725417193245,4.068725424654343,0.0001,0.0001,64,64,128
143,-134.3830561020795,1.0982835897627998,0.0001,0.0001,64,64,128
144,-134.88275523466223,2.337584439445944,0.0001,0.0001,64,64,128
145,-135.59954026166128,1.6448826228871065,0.0001,0.0001,64,64,128
146,-137.3716363345875,1.1371418237686157,0.0001,0.0001,64,64,128
147,-136.68565391091738,2.8061059292624977,0.0001,0.0001,64,64,128
148,-139.23403091430663,-0.09454306784798117,0.0001,0.0001,64,64,128
149,-138.56871701408838,3.3958048241979935,0.0001,0.0001,64,64,128
150,-140.62275063009824,0.6199723867809072,0.0001,0.0001,64,64,128
151,-141.27514908734486,3.2074930194546196,0.0001,0.0001,64,64,128
152,-142.02085966222424,2.1597301381475784,0.0001,0.0001,64,64,128
153,-143.407897679946,-0.5383667384876925,0.0001,0.0001,64,64,128
154,-144.29421121933882,7.47580568930682,0.0001,0.0001,64,64,128
155,-146.10206743128157,-1.1748032710131477,0.0001,0.0001,64,64,128
156,-145.7744028428022,3.916274267084458,0.0001,0.0001,64,64,128
157,-146.95867906458238,0.7420985698699951,0.0001,0.0001,64,64,128
158,-147.95264053344727,1.4256575282882242,0.0001,0.0001,64,64,128
159,-148.37483794268442,1.503248509238748,0.0001,0.0001,64,64,128
160,-150.35453477747302,2.8482567948453568,0.0001,0.0001,64,64,128
161,-150.55043442670035,1.9250398067867054,0.0001,0.0001,64,64,128
162,-150.56979383580824,2.6850498143364403,0.0001,0.0001,64,64,128
163,-152.71655856861787,2.1978914983132305,0.0001,0.0001,64,64,128
164,-152.20630026424635,1.671151504797094,0.0001,0.0001,64,64,128
165,-153.9128486633301,2.9421964112450096,0.0001,0.0001,64,64,128
166,-154.35452970616961,3.825087315895978,0.0001,0.0001,64,64,128
167,-155.20050838694854,0.7263379377477309,0.0001,0.0001,64,64,128
168,-156.26773152070888,1.2301804142839767,0.0001,0.0001,64,64,128
169,-156.64091967414404,1.8615236983579748,0.0001,0.0001,64,64,128
170,-157.43960970710307,0.645200813517851,0.0001,0.0001,64,64,128
171,-158.6697449179257,4.2659101381021385,0.0001,0.0001,64,64,128
172,-157.72084480734435,0.5510695401360007,0.0001,0.0001,64,64,128
173,-159.60307078641998,-1.029442261247074,0.0001,0.0001,64,64,128
174,-160.44615159876207,3.757537035381093,0.0001,0.0001,64,64,128
175,-161.631682137882,1.1953471408170813,0.0001,0.0001,64,64,128
176,-163.0650076922249,2.6138641588828144,0.0001,0.0001,64,64,128
177,-163.07317168291874,0.4131477194673875,0.0001,0.0001,64,64,128
178,-163.6931275760426,1.1354620035956888,0.0001,0.0001,64,64,128
179,-164.01099889418657,0.6301145904204425,0.0001,0.0001,64,64,128
180,-163.63184473374312,3.4191277027130127,0.0001,0.0001,64,64,128
181,-166.28749645457555,2.692687616628759,0.0001,0.0001,64,64,128
182,-166.12646385641654,3.2701523374108707,0.0001,0.0001,64,64,128
183,-166.77408501120175,-1.116684310576495,0.0001,0.0001,64,64,128
184,-167.75696976605582,1.8608239012606003,0.0001,0.0001,64,64,128
185,-167.73819844862993,1.6394282649545109,0.0001,0.0001,64,64,128
186,-170.03085107242356,-0.2549770193941453,0.0001,0.0001,64,64,128
187,-169.41387356028835,1.4484523464651669,0.0001,0.0001,64,64,128
188,-169.4404871772317,2.276282853939954,0.0001,0.0001,64,64,128
189,-169.4305170844583,3.331293351509992,0.0001,0.0001,64,64,128
190,-172.67360978968,0.18565783781163833,0.0001,0.0001,64,64,128
191,-172.70828327852135,5.086684367235969,0.0001,0.0001,64,64,128
